,bigram,frequency
974,oː_yː,48
975,ŋ_j,48
976,ç_ɔi,48
977,au_a,48
978,ai_ai,48
979,uː_ai,47
980,h_ʏ,46
981,ʃ_k,45
982,oː_ɔ,45
983,b_ɔi,45
984,p:_ɔi,45
985,uː_ʊ,44
986,ŋ_uː,44
987,p:_x,44
988,k_x,43
989,ai_oː,43
990,a_aː,43
991,p:_uː,43
992,yː_oː,42
993,t_øː,42
994,r_r,42
995,ɔi_z,42
996,ʃ_p:,41
997,k_p,41
998,yː_ə,40
999,øː_ɐ,40
1000,n_ʏ,40
1001,v_ə,39
1002,ɔi_ʃ,39
1003,ɛː_p:,39
1004,uː_au,38
1005,ŋ_b,38
1006,m_øː,38
1007,g_t,38
1008,eː_ai,38
1009,aː_yː,38
1010,aː_ɔ,38
1011,p:_ɔ,38
1012,x_p,37
1013,ʃ_f,37
1014,s_ʏ,37
1015,n_ʔ,37
1016,n_ŋ,37
1017,iː_yː,37
1018,z_œ,36
1019,x_yː,36
1020,p_yː,36
1021,p_b,36
1022,ŋ_p:,36
1023,j_ɔ,36
1024,eː_au,36
1025,ɔi_g,35
1026,au_l,35
1027,z_j,34
1028,ʏ_ŋ,34
1029,ʊ_z,34
1030,ʃ_ʏ,34
1031,ʃ_s,34
1032,ʃ_ɔi,34
1033,r_p:,34
1034,ɔi_d,34
1035,eː_x,34
1036,ɔi_s,33
1037,iː_ŋ,33
1038,iː_ç,33
1039,au_uː,33
1040,au_k,33
1041,a_ʊ,33
1042,p:_l,33
1043,ʃ_yː,32
1044,ɛː_n,32
1045,yː_ɪ,31
1046,ɪ_v,31
1047,ɪ_b,31
1048,iː_x,31
1049,f_øː,31
1050,r_x,30
1051,ŋ_ʃ,30
1052,iː_iː,30
1053,f_ɛː,30
1054,b_s,30
1055,b_øː,30
1056,au_j,30
1057,v_h,29
1058,ʃ_eː,29
1059,m_x,29
1060,k_ç,29
1061,a_oː,29
1062,a_au,29
1063,x_x,28
1064,uː_yː,28
1065,ç_iː,28
1066,a_j,28
1067,ʊ_g,27
1068,øː_g,27
1069,ŋ_ai,27
1070,n_œ,27
1071,h_yː,27
1072,p_ʏ,26
1073,ɔ_ʃ,26
1074,eː_ɛ,26
1075,ai_ɔi,26
1076,a_uː,26
1077,z_ɔi,25
1078,ɔ_v,25
1079,ɛː_k,25
1080,ɛː_f,25
1081,ɛː_b,25
1082,ʔ_au,24
1083,yː_v,24
1084,yː_k,24
1085,p_ɔi,24
1086,œ_p,24
1087,g_m,24
