,syllable,position,frequency_pos,frequency,pval_uniform
13731,s_k_eɪ_l_z,3,0,9,0.7820044449462648
13732,s_k_eɪ_l_z,5,0,9,0.7820044449462648
13733,s_k_eɪ_n,1,1,1,0.0
13734,s_k_eɪ_n_z,1,1,1,0.0
13735,s_k_eɪ_p,1,4,95,0.0457826261480284
13736,s_k_eɪ_p,2,90,95,0.0457826261480284
13737,s_k_eɪ_p,4,1,95,0.0457826261480284
13738,s_k_eɪ_p_s,2,7,7,0.6569991481240273
13739,s_k_eɪ_p_s,4,0,7,0.6569991481240273
13740,s_k_eɪ_p_t,2,20,20,0.8208130603464577
13741,s_k_eɪ_t,1,3,3,0.2355481345110688
13742,s_k_eɪ_t,2,0,3,0.2355481345110688
13743,s_k_eɪ_t,3,0,3,0.2355481345110688
13744,s_k_eɪ_t_s,1,2,2,0.0338673693563189
13745,s_k_eɪ_t_s,2,0,2,0.0338673693563189
13746,s_k_eɪ_t_s,3,0,2,0.0338673693563189
13747,s_k_aɪ,1,89,89,0.078233651171874
13748,s_k_aɪ_z,1,7,7,0.6569991481240273
13749,s_k_ɜː,1,5,14,0.9982253065955268
13750,s_k_ɜː,2,9,14,0.9982253065955268
13751,s_k_ɜː_dʒ,1,2,2,0.0338673693563189
13752,s_k_ɜː_t,1,20,20,0.8208130603464577
13753,s_k_ɜː_t,3,0,20,0.8208130603464577
13754,s_k_ɜː_t_s,1,10,17,0.9016509460184804
13755,s_k_ɜː_t_s,2,7,17,0.9016509460184804
13756,s_k_ɜː_t_s,3,0,17,0.9016509460184804
13757,s_k_əʊ,2,7,11,0.881819246751963
13758,s_k_əʊ,3,4,11,0.881819246751963
13759,s_k_əʊ_l,1,3,3,0.2355481345110688
13760,s_k_əʊ_p,1,17,27,0.6715392446185393
13761,s_k_əʊ_p,3,8,27,0.6715392446185393
13762,s_k_əʊ_p,4,2,27,0.6715392446185393
13763,s_k_əʊ_p,5,0,27,0.6715392446185393
13764,s_k_əʊ_p,6,0,27,0.6715392446185393
13765,s_k_əʊ_p_s,3,2,2,0.0338673693563189
13766,s_k_əʊ_p_s,4,0,2,0.0338673693563189
13767,s_k_əʊ_p_s,5,0,2,0.0338673693563189
13768,s_k_əʊ_p_s,6,0,2,0.0338673693563189
13769,s_k_əʊ_z,2,3,3,0.2355481345110688
13770,s_k_aʊ,1,6,6,0.5803236797915148
13771,s_k_aʊ,2,0,6,0.5803236797915148
13772,s_k_aʊ_l,1,1,1,0.0
13773,s_k_aʊ_l_d,1,5,5,0.4896358490926503
13774,s_k_aʊ_n,1,1,1,0.0
13775,s_k_aʊ_n,2,0,1,0.0
13776,s_k_aʊ_t,1,3,3,0.2355481345110688
13777,s_k_aʊ_t,2,0,3,0.2355481345110688
13778,s_k_aʊ_t,3,0,3,0.2355481345110688
13779,s_k_aʊ_t_s,1,3,3,0.2355481345110688
13780,s_k_aʊ_t_s,2,0,3,0.2355481345110688
13781,s_k_aʊ_t_s,3,0,3,0.2355481345110688
13782,s_k_ɛə,1,9,9,0.7820044449462648
13783,s_k_ɛə,3,0,9,0.7820044449462648
13784,s_k_ɛə_ɜ˞,1,7,7,0.6569991481240273
13785,s_k_ɛə_d,1,24,24,0.7301252296475932
13786,s_k_ɛə_s,1,41,41,0.4637552621635807
13787,s_k_ɛə_t,1,1,1,0.0
13788,s_k_ɛə_z,1,2,2,0.0338673693563189
13789,s_k_ə,1,1,26,0.6903115090441662
13790,s_k_ə,2,24,26,0.6903115090441662
13791,s_k_ə,3,1,26,0.6903115090441662
13792,s_k_ə_ɜ˞,2,26,27,0.6715392446185393
13793,s_k_ə_ɜ˞,4,1,27,0.6715392446185393
13794,s_k_ə_d,2,1,1,0.0
13795,s_k_ə_n,3,1,1,0.0
13796,s_k_ə_n,4,0,1,0.0
13797,s_k_ə_s,2,1,1,0.0
13798,s_k_ə_s,3,0,1,0.0
13799,s_k_ə_t,2,1,1,0.0
13800,s_k_ə_z,2,3,3,0.2355481345110688
13801,s_k_ə_z,5,0,3,0.2355481345110688
13802,s_k_ɛ,1,17,17,0.9016509460184804
13803,s_k_ɛ_ɲ,1,7,7,0.6569991481240273
13804,s_k_ɛ_ɲ_t,1,5,5,0.4896358490926503
13805,s_k_ɛ_p,1,16,16,0.9318059948023432
13806,s_k_ɪ,1,25,69,0.2048383254794935
13807,s_k_ɪ,2,44,69,0.2048383254794935
13808,s_k_ɪ,3,0,69,0.2048383254794935
13809,s_k_ɪ_ŋ,2,87,87,0.0895388189317788
13810,s_k_ɪ_ŋ,3,0,87,0.0895388189317788
13811,s_k_ɪ_ŋ,4,0,87,0.0895388189317788
13812,s_k_ɪ_d,1,1,1,0.0
13813,s_k_ɪ_d,2,0,1,0.0
13814,s_k_ɪ_d_z,1,1,1,0.0
13815,s_k_ɪ_l,1,50,50,0.3650445806101261
13816,s_k_ɪ_l_d,1,19,25,0.7098201258905722
13817,s_k_ɪ_l_d,2,6,25,0.7098201258905722
13818,s_k_ɪ_l_z,1,43,43,0.4400647862856458
13819,s_k_ɪ_m,1,5,5,0.4896358490926503
13820,s_k_ɪ_m_d,1,5,5,0.4896358490926503
13821,s_k_ɪ_n,1,91,94,0.0510462304978374
13822,s_k_ɪ_n,2,3,94,0.0510462304978374
13823,s_k_ɪ_n,3,0,94,0.0510462304978374
13824,s_k_ɪ_n_z,1,12,12,0.9250992250719609
13825,s_k_ɪ_n_z,2,0,12,0.9250992250719609
13826,s_k_ɪ_n_z,3,0,12,0.9250992250719609
13827,s_k_ɪ_p,1,5,5,0.4896358490926503
